,Time,Close,Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,Time
0,2000-01-01 00:00:00-05:00,3570.050048828125,1/3/23,4.17,4.42,4.53,4.7,4.77,4.72,4.4,4.18,3.94,3.89,3.79,4.06,3.88,2023-01-03
1,2000-02-01 00:00:00-05:00,4266.93994140625,1/4/23,4.2,4.42,4.55,4.69,4.77,4.71,4.36,4.11,3.85,3.79,3.69,3.97,3.81,2023-01-04
2,2000-03-01 00:00:00-05:00,4397.83984375,1/5/23,4.3,4.55,4.66,4.75,4.81,4.78,4.45,4.18,3.9,3.82,3.71,3.96,3.78,2023-01-05
3,2000-04-01 00:00:00-05:00,3773.179931640625,1/6/23,4.32,4.55,4.67,4.74,4.79,4.71,4.24,3.96,3.69,3.63,3.55,3.84,3.67,2023-01-06
4,2000-05-01 00:00:00-04:00,3324.080078125,1/9/23,4.37,4.58,4.7,4.74,4.83,4.69,4.19,3.93,3.66,3.6,3.53,3.83,3.66,2023-01-09
5,2000-06-01 00:00:00-04:00,3763.7900390625,1/10/23,4.41,4.62,4.73,4.77,4.85,4.74,4.24,3.94,3.72,3.67,3.61,3.91,3.74,2023-01-10
6,2000-07-01 00:00:00-04:00,3609.35009765625,1/11/23,4.42,4.62,4.72,4.82,4.84,4.73,4.2,3.9,3.66,3.61,3.54,3.84,3.67,2023-01-11
7,2000-08-01 00:00:00-04:00,4077.590087890625,1/12/23,4.57,4.59,4.66,4.74,4.76,4.66,4.12,3.79,3.53,3.48,3.43,3.73,3.56,2023-01-12
8,2000-09-01 00:00:00-04:00,3570.610107421875,1/13/23,4.58,4.59,4.67,4.73,4.77,4.69,4.22,3.88,3.6,3.55,3.49,3.79,3.61,2023-01-13
9,2000-10-01 00:00:00-04:00,3282.300048828125,1/17/23,4.6,4.63,4.71,4.74,4.82,4.67,4.18,3.86,3.6,3.57,3.53,3.81,3.64,2023-01-17
10,2000-11-01 00:00:00-05:00,2506.5400390625,1/18/23,4.59,4.62,4.69,4.74,4.79,4.63,4.06,3.72,3.43,3.4,3.37,3.65,3.54,2023-01-18
11,2000-12-01 00:00:00-05:00,2341.699951171875,1/19/23,4.69,4.66,4.71,4.74,4.79,4.65,4.09,3.76,3.48,3.43,3.39,3.69,3.57,2023-01-19
12,2001-01-01 00:00:00-05:00,2593.0,1/20/23,4.69,4.64,4.72,4.75,4.8,4.68,4.14,3.83,3.56,3.51,3.48,3.77,3.66,2023-01-20
13,2001-02-01 00:00:00-05:00,1908.3199462890625,1/23/23,4.69,4.65,4.73,4.76,4.82,4.7,4.21,3.88,3.61,3.56,3.52,3.8,3.69,2023-01-23
14,2001-03-01 00:00:00-05:00,1573.25,1/24/23,4.7,4.67,4.72,4.75,4.84,4.7,4.12,3.86,3.58,3.52,3.46,3.73,3.62,2023-01-24
15,2001-04-01 00:00:00-05:00,1855.1500244140625,1/25/23,4.67,4.65,4.72,4.75,4.79,4.67,4.11,3.84,3.54,3.51,3.46,3.74,3.62,2023-01-25
16,2001-05-01 00:00:00-04:00,1799.8900146484375,1/26/23,4.61,4.65,4.71,4.76,4.79,4.68,4.17,3.88,3.58,3.54,3.49,3.75,3.62,2023-01-26
17,2001-06-01 00:00:00-04:00,1830.18994140625,1/27/23,4.61,4.64,4.73,4.76,4.81,4.68,4.19,3.9,3.62,3.58,3.52,3.77,3.64,2023-01-27
18,2001-07-01 00:00:00-04:00,1683.6099853515625,1/30/23,4.6,4.64,4.72,4.76,4.82,4.71,4.25,3.96,3.68,3.62,3.55,3.79,3.66,2023-01-30
19,2001-08-01 00:00:00-04:00,1469.699951171875,1/31/23,4.58,4.64,4.7,4.74,4.8,4.68,4.21,3.9,3.63,3.59,3.52,3.78,3.65,2023-01-31
20,2001-09-01 00:00:00-04:00,1168.3699951171875,2/1/23,4.59,4.63,4.66,4.77,4.79,4.66,4.09,3.75,3.48,3.43,3.39,3.67,3.55,2023-02-01
21,2001-10-01 00:00:00-04:00,1364.780029296875,2/2/23,4.62,4.65,4.66,4.75,4.76,4.64,4.09,3.75,3.49,3.44,3.4,3.67,3.55,2023-02-02
22,2001-11-01 00:00:00-05:00,1596.050048828125,2/3/23,4.61,4.67,4.7,4.8,4.82,4.79,4.3,3.96,3.67,3.61,3.53,3.77,3.63,2023-02-03
23,2001-12-01 00:00:00-05:00,1577.050048828125,2/6/23,4.61,4.67,4.71,4.81,4.89,4.85,4.44,4.1,3.81,3.73,3.63,3.82,3.67,2023-02-06
24,2002-01-01 00:00:00-05:00,1550.1700439453125,2/7/23,4.62,4.68,4.71,4.8,4.89,4.88,4.47,4.11,3.85,3.78,3.67,3.87,3.72,2023-02-07
25,2002-02-01 00:00:00-05:00,1359.219970703125,2/8/23,4.64,4.69,4.72,4.85,4.88,4.87,4.45,4.08,3.82,3.75,3.63,3.86,3.7,2023-02-08
