,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
0,AAPL,2025-03-21,5.0,207.07,call,5,44,3.91817,1.0,0.0,-0.00059,0.0,0.00041,0.0027397260273972603,210.24069037775993,210.24069037775993
1,AAPL,2025-03-21,5.0,0.01,put,2,5236,3.91817,-0.0,0.0,-0.00034,0.0,-0.0,0.0027397260273972603,6.479176812012085e-76,0.01
2,AAPL,2025-03-21,10.0,203.37,call,6,32,3.82385,1.0,0.0,-0.00119,0.0,0.00082,0.0027397260273972603,205.2413752623558,205.2413752623558
3,AAPL,2025-03-21,10.0,0.01,put,1,5,3.82385,-7e-05,0.0,-0.0085,5e-05,-0.0,0.0027397260273972603,1.3317547240858192e-53,1.3317580534726291e-53
4,AAPL,2025-03-21,15.0,223.85,call,0,0,3.72952,1.0,0.0,-0.00178,0.0,0.00123,0.0027397260273972603,200.2420601469517,200.2420601469517
6,AAPL,2025-03-21,20.0,192.14,call,2,1,3.63519,1.0,0.0,-0.00237,0.0,0.00164,0.0027397260273972603,195.24274503154757,195.24274503154757
8,AAPL,2025-03-21,25.0,210.01,call,0,2,3.54086,1.0,0.0,-0.00296,0.0,0.00205,0.0027397260273972603,190.24342991614344,190.24342991614344
9,AAPL,2025-03-21,25.0,0.01,put,8,19,7.46919,-0.00023,1e-05,-0.02088,0.00017,-0.0,0.0027397260273972603,8.796935076158917e-08,8.797014248574602e-08
10,AAPL,2025-03-21,30.0,229.0,call,0,0,3.44654,1.0,0.0,-0.00356,0.0,0.00246,0.0027397260273972603,185.2441148007393,185.2441148007393
11,AAPL,2025-03-21,30.0,0.01,put,8,6,6.82759,-0.00026,1e-05,-0.02093,0.00018,-1e-05,0.0027397260273972603,8.464234902130711e-08,8.464315312362282e-08
12,AAPL,2025-03-21,35.0,201.75,call,0,4,3.35221,1.0,0.0,-0.00415,0.0,0.00288,0.0027397260273972603,180.24479968533518,180.24479968533518
