,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
0,AMAT,2025-03-21,90.0,97.51,call,0,1,2.64965,0.99047,0.00069,-0.16752,0.00356,0.00726,0.0027397260273972603,64.47251897313586,64.48621938341765
1,AMAT,2025-03-21,90.0,0.01,put,1,115,2.00393,-0.00122,0.00014,-0.01869,0.00056,-2e-05,0.0027397260273972603,2.9112919358004136e-07,0.01
4,AMAT,2025-03-21,100.0,53.72,call,0,5,1.39866,1.0,0.0,-0.01186,0.0,0.00822,0.0027397260273972603,54.47370440785005,54.47370440785005
6,AMAT,2025-03-21,105.0,50.57,call,0,4,1.26797,1.0,0.0,-0.01245,0.0,0.00863,0.0027397260273972603,49.47438929448758,49.47438929448758
8,AMAT,2025-03-21,110.0,45.42,call,0,2,1.13728,1.0,0.0,-0.01304,0.0,0.00904,0.0027397260273972603,44.4750741824714,44.4750741824714
10,AMAT,2025-03-21,115.0,67.34,call,0,6,1.00659,1.0,0.0,-0.01364,0.0,0.00945,0.0027397260273972603,39.47575907213165,39.47575907213165
12,AMAT,2025-03-21,120.0,37.15,call,0,42,0.8759,1.0,0.0,-0.01423,0.0,0.00986,0.0027397260273972603,34.47644396341212,34.47644396341212
14,AMAT,2025-03-21,125.0,30.65,call,0,23,0.7452,1.0,0.0,-0.01482,0.0,0.01027,0.0027397260273972603,29.47712885539933,29.47712885539933
16,AMAT,2025-03-21,130.0,25.25,call,0,23,1.00792,0.96917,0.00496,-0.17754,0.00969,0.01028,0.0027397260273972603,24.478877452444323,24.49680823017824
17,AMAT,2025-03-21,130.0,0.04,put,78,590,0.80579,-0.01025,0.00243,-0.05073,0.00379,-0.00013,0.0027397260273972603,2.8438970547454024e-05,0.04
24,AMAT,2025-03-21,135.0,18.62,call,3,31,0.7285,0.97637,0.0055,-0.10978,0.00776,0.01079,0.0027397260273972603,19.478778457228145,19.491692887345287
25,AMAT,2025-03-21,135.0,0.08,put,28,1014,1.04237,-0.07917,0.01017,-0.3551,0.02053,-0.00104,0.0027397260273972603,0.017281741715962307,0.08
27,AMAT,2025-03-21,136.0,0.12,put,12,13,1.00136,-0.08327,0.011,-0.35433,0.02133,-0.0011,0.0027397260273972603,0.01880896722467118,0.01883937192018986
29,AMAT,2025-03-21,137.0,0.07,put,13,22,0.66692,-0.02755,0.00683,-0.09756,0.00882,-0.00036,0.0027397260273972603,0.0003760320647651083,0.000376326309855787
33,AMAT,2025-03-21,139.0,0.18,put,1,0,0.89207,-0.10159,0.0143,-0.3654,0.02471,-0.00133,0.0027397260273972603,0.02801309538991892,0.028067734932476954
34,AMAT,2025-03-21,140.0,16.35,call,0,72,0.64649,0.94599,0.01219,-0.18003,0.01526,0.0108,0.0027397260273972603,14.481797995907243,16.35
35,AMAT,2025-03-21,140.0,0.21,put,359,1628,0.63963,-0.05221,0.01199,-0.15741,0.01486,-0.00068,0.0027397260273972603,0.0023216739979660117,0.21
37,AMAT,2025-03-21,141.0,0.34,put,4,0,0.81585,-0.11681,0.01729,-0.36921,0.02732,-0.00153,0.0027397260273972603,0.036642055827577735,0.03672378593310115
38,AMAT,2025-03-21,142.0,12.1,call,1,0,0.65762,0.91037,0.01769,-0.26211,0.02253,0.0105,0.0027397260273972603,12.491463711692148,12.51658404521636
39,AMAT,2025-03-21,142.0,0.28,put,3,0,0.77454,-0.12505,0.0191,-0.36757,0.02866,-0.00163,0.0027397260273972603,0.041250602152127946,0.041349108590067234
41,AMAT,2025-03-21,143.0,0.33,put,18,0,0.73216,-0.13415,0.02122,-0.3646,0.03009,-0.00175,0.0027397260273972603,0.04641808038518658,0.046537165970414775
43,AMAT,2025-03-21,144.0,0.46,put,2,0,0.58857,-0.109,0.02281,-0.25299,0.026,-0.00141,0.0027397260273972603,0.01780092328827343,0.01784436644155846
44,AMAT,2025-03-21,145.0,10.57,call,0,252,0.56677,0.87339,0.02633,-0.28788,0.02891,0.01027,0.0027397260273972603,9.505919095224357,10.57
45,AMAT,2025-03-21,145.0,0.55,put,158,1829,0.53872,-0.11518,0.02592,-0.24067,0.02704,-0.00149,0.0027397260273972603,0.018063483454682894,0.55
47,AMAT,2025-03-21,146.0,1.01,put,19,0,0.5811,-0.16226,0.03036,-0.32793,0.03417,-0.00211,0.0027397260273972603,0.05648995822354497,0.05667222307375323
48,AMAT,2025-03-21,147.0,8.4,call,7,0,0.44757,0.86368,0.03509,-0.2418,0.03042,0.01032,0.0027397260273972603,7.501807648044689,7.52637981899586
49,AMAT,2025-03-21,147.0,0.85,put,3,0,0.53765,-0.17861,0.0349,-0.32231,0.03634,-0.00231,0.0027397260273972603,0.06624897653473383,0.06648495538915056
51,AMAT,2025-03-21,148.0,1.01,put,17,0,0.53247,-0.21514,0.03944,-0.35699,0.04068,-0.00279,0.0027397260273972603,0.11321962552376164,0.11367318334360982
52,AMAT,2025-03-21,149.0,5.85,call,2,0,0.65168,0.7055,0.03801,-0.53324,0.04798,0.00838,0.0027397260273972603,5.865124446094967,5.890341548650952
53,AMAT,2025-03-21,149.0,1.12,put,41,0,0.56067,-0.26794,0.04221,-0.42332,0.04584,-0.00349,0.0027397260273972603,0.23426849496830116,0.2352998620173991
54,AMAT,2025-03-21,150.0,5.34,call,20,698,0.64055,0.66766,0.04074,-0.55108,0.05054,0.00797,0.0027397260273972603,5.014026045473059,5.34
55,AMAT,2025-03-21,150.0,1.51,put,175,11584,0.54086,-0.30731,0.04669,-0.43513,0.04891,-0.004,0.0027397260273972603,0.3325739913714969,1.51
56,AMAT,2025-03-21,152.5,3.38,call,35,475,0.53095,0.56694,0.05323,-0.49429,0.05474,0.00687,0.0027397260273972603,2.872194028941024,3.38
57,AMAT,2025-03-21,152.5,2.58,put,119,430,0.52988,-0.43296,0.05333,-0.47522,0.05474,-0.00566,0.0027397260273972603,0.888220943814737,2.58
58,AMAT,2025-03-21,155.0,2.3,call,469,1736,0.60396,0.44333,0.04698,-0.56099,0.05496,0.00537,0.0027397260273972603,1.7027676289139606,2.3
