,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
0,APPS,2025-03-21,0.5,1.93,call,0,34,3.42069,0.99484,0.00484,-0.00767,5e-05,4e-05,0.0027397260273972603,2.965068402628899,2.9657933618533416
2,APPS,2025-03-21,1.0,2.43,call,0,358,2.82887,0.96409,0.02567,-0.04051,0.00024,7e-05,0.0027397260273972603,2.4651368910884863,2.43
4,APPS,2025-03-21,1.5,2.06,call,0,448,2.23706,0.91198,0.05197,-0.08193,0.00049,8e-05,0.0027397260273972603,1.9652053795480895,2.06
6,APPS,2025-03-21,2.0,1.53,call,1,12842,4.26531,0.94049,0.09029,-0.02607,0.00036,0.00014,0.0027397260273972603,1.4665903781624114,1.53
8,APPS,2025-03-21,2.5,1.0,call,2,595,1.96155,0.96434,0.13016,-0.00817,0.00024,0.00019,0.0027397260273972603,0.9654024295829458,1.0
10,APPS,2025-03-21,3.0,0.52,call,24,697,1.29953,0.86418,0.54588,-0.01481,0.00067,0.00021,0.0027397260273972603,0.46675037270457276,0.52
12,APPS,2025-03-21,3.5,0.13,call,470,969,1.35623,0.42256,0.93902,-0.02735,0.0012,0.00011,0.0027397260273972603,0.08229685337916881,0.13
13,APPS,2025-03-21,3.5,0.25,put,254,1648,1.53214,-0.56272,0.83673,-0.03067,0.00121,-0.00018,0.0027397260273972603,0.12948969100021945,0.25
14,APPS,2025-03-21,4.0,0.05,call,177,2722,1.16904,0.06618,0.35786,-0.00772,0.0004,2e-05,0.0027397260273972603,0.0007318286893233661,0.05
15,APPS,2025-03-21,4.0,0.55,put,33,929,1.70409,-0.83927,0.46596,-0.02089,0.00075,-0.00029,0.0027397260273972603,0.5420161398208747,0.55
16,APPS,2025-03-21,4.5,0.04,call,1,2179,1.77695,0.04692,0.17949,-0.00894,0.0003,1e-05,0.0027397260273972603,0.0002712877103601963,0.04
18,APPS,2025-03-21,5.0,0.04,call,0,1000,2.28365,0.03822,0.1183,-0.00973,0.00026,1e-05,0.0027397260273972603,0.00014959372007927654,0.04
19,APPS,2025-03-21,5.0,1.55,put,7,274,3.06259,-0.89608,0.19175,-0.02776,0.00055,-0.00039,0.0027397260273972603,1.536847338402631,1.55
20,APPS,2025-03-21,5.5,0.03,call,2,702,2.72129,0.03313,0.08831,-0.01031,0.00023,1e-05,0.0027397260273972603,9.797989199298836e-05,0.03
22,APPS,2025-03-21,6.0,0.01,call,0,2115,3.10756,0.02976,0.07076,-0.01077,0.00021,1e-05,0.0027397260273972603,7.069769923192799e-05,0.01
