,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price
0,MSFT,2025-03-21,200.0,178.3,call,0,438,3.12982,0.99261,0.00019,-0.39414,0.00711,0.01618,0.0027397260273972603,187.84767086775668,178.3
2,MSFT,2025-03-21,210.0,179.2,call,0,149,2.97357,0.99111,0.00023,-0.43874,0.00836,0.01695,0.0027397260273972603,177.84918084322885,179.2
4,MSFT,2025-03-21,220.0,172.41,call,0,15,2.78303,0.9901,0.00027,-0.45151,0.00918,0.01773,0.0027397260273972603,167.85062766067054,167.92993708224023
6,MSFT,2025-03-21,230.0,180.74,call,0,42,2.57831,0.98944,0.00031,-0.44433,0.00972,0.01854,0.0027397260273972603,157.85201419497167,157.93117698009044
8,MSFT,2025-03-21,240.0,143.64,call,1,13,1.50155,1.0,0.0,-0.02846,0.0,0.01972,0.0027397260273972603,147.85288178670794,147.85288178670794
10,MSFT,2025-03-21,250.0,133.36,call,1,30,2.17435,0.98843,0.0004,-0.41028,0.01052,0.02015,0.0027397260273972603,137.8547192154009,137.9299878920925
11,MSFT,2025-03-21,250.0,0.01,put,109,5228,1.50775,-0.00068,5e-05,-0.02069,0.00082,-2e-05,0.0027397260273972603,5.446028093962549e-08,0.01
12,MSFT,2025-03-21,260.0,123.61,call,1,820,2.01079,0.98697,0.00048,-0.42099,0.01166,0.02092,0.0027397260273972603,127.85618843926596,123.61
14,MSFT,2025-03-21,270.0,119.0,call,0,71,1.79265,0.98755,0.00052,-0.36638,0.01121,0.02177,0.0027397260273972603,117.85738936612046,119.0
16,MSFT,2025-03-21,280.0,110.12,call,0,40,1.64129,0.98578,0.00063,-0.37661,0.01258,0.02253,0.0027397260273972603,107.85885603341819,107.93009680782826
18,MSFT,2025-03-21,290.0,98.69,call,0,62,1.10853,0.99771,0.00019,-0.08035,0.00249,0.02375,0.0027397260273972603,97.85973160703765,98.69
20,MSFT,2025-03-21,295.0,97.64,call,0,1,1.43077,0.98172,0.0009,-0.40601,0.0156,0.02363,0.0027397260273972603,92.86120683079048,92.93781732642589
22,MSFT,2025-03-21,300.0,84.3,call,11,365,1.3852,0.97838,0.00107,-0.44968,0.01798,0.02393,0.0027397260273972603,87.86231670196435,84.3
23,MSFT,2025-03-21,300.0,0.01,put,3,2753,0.89969,-0.00112,0.00012,-0.01943,0.0013,-4e-05,0.0027397260273972603,6.781519044570604e-08,0.01
24,MSFT,2025-03-21,305.0,77.48,call,1,33,1.28779,0.97849,0.00115,-0.41942,0.0179,0.02435,0.0027397260273972603,82.86282554250477,82.941752383834
25,MSFT,2025-03-21,305.0,0.01,put,1,1321,0.84359,-0.00119,0.00013,-0.01925,0.00137,-4e-05,0.0027397260273972603,6.855303763167765e-08,0.01
26,MSFT,2025-03-21,310.0,87.15,call,0,75,1.18047,0.97959,0.0012,-0.37273,0.01713,0.0248,0.0027397260273972603,77.86322037413998,87.15
27,MSFT,2025-03-21,310.0,0.02,put,1,1927,0.78826,-0.00127,0.00015,-0.01908,0.00146,-4e-05,0.0027397260273972603,6.921631810897271e-08,0.02
28,MSFT,2025-03-21,315.0,68.73,call,2,2,1.1445,0.97454,0.00149,-0.42972,0.02063,0.02505,0.0027397260273972603,72.86451256903501,72.94510071993638
29,MSFT,2025-03-21,315.0,0.01,put,57,744,0.73369,-0.00136,0.00017,-0.01892,0.00155,-4e-05,0.0027397260273972603,6.985569653227653e-08,0.01
30,MSFT,2025-03-21,320.0,68.4,call,0,74,1.07484,0.97197,0.00172,-0.43717,0.02236,0.02537,0.0027397260273972603,67.86543363877877,68.4
31,MSFT,2025-03-21,320.0,0.01,put,68,2351,0.67957,-0.00146,0.0002,-0.01871,0.00166,-5e-05,0.0027397260273972603,6.954693304493068e-08,0.01
32,MSFT,2025-03-21,325.0,58.35,call,14,37,1.00883,0.96855,0.00202,-0.45071,0.0246,0.02567,0.0027397260273972603,62.866501130455504,62.95017644346014
33,MSFT,2025-03-21,325.0,0.02,put,257,718,0.62607,-0.00158,0.00024,-0.01849,0.00178,-5e-05,0.0027397260273972603,6.878316979636038e-08,0.02
34,MSFT,2025-03-21,330.0,59.21,call,0,5205,0.91844,0.96791,0.00225,-0.42049,0.02501,0.02607,0.0027397260273972603,57.86694080219138,59.21
35,MSFT,2025-03-21,330.0,0.03,put,182,7430,0.61235,-0.00306,0.00044,-0.03289,0.00324,-0.0001,0.0027397260273972603,4.905411990012128e-07,0.03
38,MSFT,2025-03-21,335.0,46.8,call,1,7,0.50763,1.0,0.0,-0.03973,0.0,0.02752,0.0027397260273972603,52.865894620627046,52.865894620627046
39,MSFT,2025-03-21,335.0,0.02,put,162,1247,0.60015,-0.00587,0.0008,-0.05775,0.0058,-0.00019,0.0027397260273972603,3.4578536713827197e-06,0.02
42,MSFT,2025-03-21,340.0,43.26,call,28,232,0.52195,0.99501,0.0008,-0.08375,0.00502,0.02778,0.0027397260273972603,47.86658083488612,43.26
43,MSFT,2025-03-21,340.0,0.04,put,127,4466,0.54131,-0.00646,0.00096,-0.05662,0.00631,-0.00021,0.0027397260273972603,3.4023106583335903e-06,0.04
45,MSFT,2025-03-21,342.5,0.05,put,9,0,0.56784,-0.01287,0.00168,-0.10863,0.01154,-0.00041,0.0027397260273972603,3.3449828835529355e-05,3.3471939172389643e-05
46,MSFT,2025-03-21,345.0,38.11,call,2,19,0.70228,0.95542,0.00385,-0.42166,0.03271,0.0269,0.0027397260273972603,42.86988194663144,42.94824809082988
47,MSFT,2025-03-21,345.0,0.05,put,124,3401,0.48278,-0.00718,0.00119,-0.05539,0.00693,-0.00023,0.0027397260273972603,3.280381976705402e-06,0.05
49,MSFT,2025-03-21,347.5,0.07,put,25,0,0.47729,-0.01047,0.00167,-0.07623,0.00964,-0.00033,0.0027397260273972603,1.0355680642465219e-05,1.0361536779868533e-05
50,MSFT,2025-03-21,350.0,40.2,call,0,586,0.55823,0.96708,0.00379,-0.27767,0.02555,0.0277,0.0027397260273972603,37.86853893773116,40.2
51,MSFT,2025-03-21,350.0,0.07,put,661,8880,0.45625,-0.01253,0.00204,-0.08518,0.01128,-0.0004,0.0027397260273972603,1.577969992201146e-05,0.07
