date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-03-21,4,4,IBM,2025-03-21,95.0,157.4,call,0,5,4.12873,0.99349,0.00017,-0.26084,0.00484,0.0102,0.005479,56.08302,56.09707,2025-03-21
2025-03-21,6,6,IBM,2025-03-21,100.0,152.32,call,0,0,3.85952,0.9938,0.00017,-0.23543,0.00464,0.01076,0.005479,51.23063,51.24295,2025-03-21
2025-03-21,17,17,IBM,2025-03-21,125.0,0.03,put,7,27,2.16094,-0.00062,4e-05,-0.01539,0.00057,-2e-05,0.005479,1.383554,1.383596,2025-03-21
2025-03-21,18,18,IBM,2025-03-21,130.0,85.15,call,0,0,2.81656,0.99196,0.0003,-0.22051,0.00583,0.01399,0.005479,24.25401,24.26145,2025-03-21
2025-03-21,20,20,IBM,2025-03-21,135.0,117.85,call,0,0,2.84857,0.98798,0.00041,-0.31046,0.00828,0.01442,0.005479,20.93102,20.94011,2025-03-21
2025-03-21,21,21,IBM,2025-03-21,135.0,0.06,put,14,239,1.93716,-0.00069,5e-05,-0.01524,0.00063,-2e-05,0.005479,2.739928,0.06,2025-03-21
2025-03-21,22,22,IBM,2025-03-21,140.0,110.94,call,0,6,2.59614,0.98968,0.0004,-0.25167,0.00725,0.01502,0.005479,16.81405,16.82048,2025-03-21
2025-03-21,24,24,IBM,2025-03-21,145.0,107.4,call,0,0,2.42679,0.98982,0.00042,-0.23436,0.00717,0.01557,0.005479,13.25196,13.25699,2025-03-21
2025-03-21,26,26,IBM,2025-03-21,150.0,112.71,call,0,1,2.46002,0.98462,0.00059,-0.33244,0.01025,0.01596,0.005479,10.88963,10.89553,2025-03-21
2025-03-21,28,28,IBM,2025-03-21,155.0,98.5,call,0,0,2.04097,0.99184,0.00041,-0.1688,0.00591,0.01673,0.005479,6.904277,6.906459,2025-03-21
2025-03-21,29,29,IBM,2025-03-21,155.0,0.19,put,4,556,1.53367,-0.00086,7e-05,-0.01488,0.00078,-2e-05,0.005479,9.677974,0.19,2025-03-21
2025-03-21,30,30,IBM,2025-03-21,160.0,90.5,call,0,10,1.17972,1.0,0.0,-0.01897,0.0,0.01753,0.005479,1.81115,1.81115,2025-03-21
